source,target
1054095,5252115
1054095,274742
1720735,1054095
714660,1054095
274742,1054095
1054095,1018209
1054095,5252115
1054095,274742
1054095,5252115
1054095,274742
4512976,1054095
274742,1054095
5252115,1054095
1054095,274742
1054095,1720735
1720735,1054095
1720735,1054095
1054095,4512976
4512976,1054095
4512976,1054095
1054095,4512976
1054095,4512976
1720735,1054095
1054095,4512976
1054095,1720735
1054095,1720735
1054095,1720735
1096358,1054095
1930447,1054095
1054095,220252
1054095,220252
1720735,1054095
1930447,1054095
3384675,1054095
1054095,1676612
1054095,3482688
551025,1054095
1054095,1054072
1054072,1054095
789144,1054095
1054095,1054072
1140373,1054095
964936,1060020
2807993,1060020
944757,1060020
2807993,1060020
1060020,6970699
1060020,6051548
6051548,1060020
1060020,1733543
1060020,2177924
2177924,1060020
2177924,1060020
1060020,2563429
959179,1060020
664886,1060020
664886,1060020
1060020,944757
6915133,1060020
1910115,1060020
1910115,1060020
944757,1060020
1060020,2807993
1060020,7316294
1060020,1795841
1060020,7316294
2963929,1060020
1060020,784448
1060020,7316294
3132507,1060020
3132507,1060020
997246,1060020
944757,1060020
1060020,1824114
1060020,480508
4187827,1060020
1060020,944757
1060020,944757
664886,1060020
664886,1060020
1060020,923985
1060020,1784292
1060020,664886
1060020,944757
689945,1060020
1060020,4752854
664886,1060020
1060020,1070181
2807993,1060020
1060020,434723
1060020,1024172
1060020,1024172
5839256,1060020
1024172,1060020
1024172,1060020
1060020,4187827
5839256,1060020
1024172,1060020
2563429,1060020
791673,1060020
2177924,1060020
1060020,1411431
1060020,1411431
1024172,1060020
1024172,1060020
1024172,1060020
1024172,1060020
1060020,434723
1060020,1024172
944757,1060020
557188,1060020
1060020,557188
1133201,1060020
1060020,784203
2605229,1060020
1060020,769007
1060020,1216373
1060020,548320
1060020,1070181
1060020,467584
2498217,1060020
1060020,3601503
1060020,2807993
1060020,988918
1060020,1708054
1060020,1795841
666047,1060020
973576,1060020
1060020,2593820
1060020,664886
1060020,3688161
434723,1060020
1024172,1060020
2807993,1060020
944757,1060020
1060020,2807993
1060020,944757
1133201,1060020
664886,1060020
557188,1060020
1060020,557188
2605229,1060020
1133201,1060020
1060020,2605229
1060020,2338487
1060020,664886
2169785,1060020
1060020,3132507
1024172,1060020
434723,1060020
434723,1060020
1133201,1060020
1133201,1060020
557188,1060020
1060020,1355951
1060020,1355951
1060020,2605229
1060020,3601503
2807993,1060020
557188,1060020
1060020,1365801
1060020,217791
944757,1060020
954086,1060020
1060020,954086
1060020,1471976
1060020,1463993
2807993,1060020
3302384,1060020
1060020,1447463
1060020,944757
664886,1060020
1024172,1060020
1060020,653083
1060020,2807993
1216373,1060020
1300883,1060020
1060020,3132507
1060020,2807993
